oldname,newnamenf
MPEC_SRR4435525_flt_fDsft_flb_macs.bed_treat_pileup_srt_bdgaccuNORM.bdg,GSE88987_MPEC_rep3
Naive_SRR4435505_flt_fDsft_flb_macs.bed_treat_pileup_srt_bdgaccuNORM.bdg,GSE88987_Naive_rep1
Naive_SRR4435506_flt_fDsft_flb_macs.bed_treat_pileup_srt_bdgaccuNORM.bdg,GSE88987_Naive_rep2
Naive_SRR4435507_flt_fDsft_flb_macs.bed_treat_pileup_srt_bdgaccuNORM.bdg,GSE88987_Naive_rep3
Naive_SRR4435508_flt_fDsft_flb_macs.bed_treat_pileup_srt_bdgaccuNORM.bdg,GSE88987_Naive_rep4
Naive_SRR4435509_flt_fDsft_flb_macs.bed_treat_pileup_srt_bdgaccuNORM.bdg,GSE88987_Naive_rep5
Runx3_d6_flb_bdgaccuNORM.bdg,ChIP_Runx3_d6
Runx3_ex_vivo_flb_bdgaccuNORM.bdg,ChIP_Runx3_ex_vivo
SLEC_SRR4435520_flt_fDsft_flb_macs.bed_treat_pileup_srt_bdgaccuNORM.bdg,GSE88987_SLEC_rep1
SLEC_SRR4435521_flt_fDsft_flb_macs.bed_treat_pileup_srt_bdgaccuNORM.bdg,GSE88987_SLEC_rep2
SLEC_SRR4435522_flt_fDsft_flb_macs.bed_treat_pileup_srt_bdgaccuNORM.bdg,GSE88987_SLEC_rep3
SRR4435499.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt_bdgaccuNORM.bdg,GSE88987_invitroNFATCARIT_rep1
SRR4435500.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt_bdgaccuNORM.bdg,GSE88987_invitroNFATCARIT_rep2
SRR4435501.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt_bdgaccuNORM.bdg,GSE88987_invitroNFATCARITDBDmut_rep1
SRR4435502.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt_bdgaccuNORM.bdg,GSE88987_invitroNFATCARITDBDmut_rep2
SRR4435503.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt_bdgaccuNORM.bdg,GSE88987_invitroMock_rep1
SRR4435504.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt_bdgaccuNORM.bdg,GSE88987_invitroMock_rep2
SRR4435510.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt_bdgaccuNORM.bdg,GSE88987_invitro100U_rep1
SRR4435511.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt_bdgaccuNORM.bdg,GSE88987_invitro100U_rep2
SRR4435512.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt_bdgaccuNORM.bdg,GSE88987_invitro10UIono_rep1
SRR4435513.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt_bdgaccuNORM.bdg,GSE88987_invitro10UIono_rep2
SRR4435514.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt_bdgaccuNORM.bdg,GSE88987_invitro10UPMAIono_rep1
SRR4435515.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt_bdgaccuNORM.bdg,GSE88987_invitro10UPMAIono_rep2
SRR4435516.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt_bdgaccuNORM.bdg,GSE88987_invitro10UPMAIonoCsA_rep1
SRR4435517.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt_bdgaccuNORM.bdg,GSE88987_invitro10UPMAIonoCsA_rep2
SRR4435518.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt_bdgaccuNORM.bdg,GSE88987_invitro10U_rep1
SRR4435519.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt_bdgaccuNORM.bdg,GSE88987_invitro10U_rep2
Stat5A_flb_bdgaccuNORM.bdg,ChIP_Stat5A
Stat5B_flb_bdgaccuNORM.bdg,ChIP_Stat5B
tbet_flb_bdgaccuNORM.bdg,ChIP_tbet
Tcf7_flb_bdgaccuNORM.bdg,ChIP_Tcf7
